,Country,Fulfill Via,Shipment Mode,Sub Classification,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
4069,Vietnam,Direct Drop,Air,Adult,60,1556,4045.6,2.6,0.04,Yes,2113.0,10784.69,6.68
4070,Zimbabwe,Direct Drop,Air,Pediatric,300,1500,46230.0,30.82,0.1,Yes,1374.0,15593.13,64.81
4071,South Africa,Direct Drop,Ocean,Adult,30,3619,25007.29,6.91,0.23,Yes,338.0,6147.09,53.92
4072,Mali,Direct Drop,Air,HIV test,100,434,34720.0,80.0,0.8,Yes,169.0,4498.98,35.69
4073,Côte d'Ivoire,Direct Drop,Air,Adult,120,20280,733324.8,36.16,0.3,Yes,5089.0,31318.31,1209.99
4075,Haiti,Direct Drop,Air,Pediatric,30,2118,2647.5,1.25,0.04,Yes,134.0,1987.82,2.72
4077,Haiti,Direct Drop,Ocean,Adult,30,33936,156784.32,4.62,0.15,Yes,14925.0,22100.46,161.17
4078,Uganda,Direct Drop,Air,Adult,30,12370,241215.0,19.5,0.65,Yes,1652.0,7172.9,283.91
4079,Rwanda,Direct Drop,Air,Adult,60,22500,52875.0,2.35,0.04,Yes,2145.0,17858.68,74.13
4080,Mozambique,Direct Drop,Air,HIV test,100,1133,90640.0,80.0,0.8,Yes,539.0,10925.46,149.56
4081,Côte d'Ivoire,Direct Drop,Air,HIV test,25,2400,49200.0,20.5,0.82,Yes,831.0,9254.06,60.86
4082,Nigeria,Direct Drop,Air,HIV test,100,2744,244216.0,89.0,0.89,Yes,1186.0,24927.19,342.39
4083,Zimbabwe,Direct Drop,Air,HIV test,100,4309,344720.0,80.0,0.8,Yes,2124.0,40520.83,568.79
4085,Guyana,Direct Drop,Air,Pediatric,100,118,542.8,4.6,0.05,Yes,16.0,693.16,0.67
4086,Vietnam,Direct Drop,Air,Adult,30,8388,54522.0,6.5,0.22,Yes,544.0,9141.18,89.96
4087,"Congo, DRC",Direct Drop,Air,HIV test,100,2917,233360.0,80.0,0.8,Yes,1361.0,24410.67,288.67
4088,South Africa,Direct Drop,Ocean,Adult,60,96770,263214.4,2.72,0.05,Yes,10536.0,4957.81,434.3
4090,Haiti,Direct Drop,Ocean,Adult,30,4176,19209.6,4.6,0.15,Yes,426.0,2251.94,23.76
4091,Vietnam,Direct Drop,Air,Adult,60,418,2403.5,5.75,0.1,Yes,1089.0,2006.63,2.97
4092,Haiti,Direct Drop,Air,Pediatric,30,2303,2878.75,1.25,0.04,Yes,143.0,2251.42,3.39
4093,Uganda,Direct Drop,Air,Adult,336,21,805.56,38.36,0.11,Yes,58.0,776.62,1.58
4094,Uganda,Direct Drop,Air,Adult,60,786,43623.0,55.5,0.92,Yes,79.0,2158.88,53.96
4095,South Africa,Direct Drop,Air,Adult,60,38400,112128.0,2.92,0.05,Yes,4528.0,6369.79,241.75
4096,Cameroon,Direct Drop,Air,Adult,60,38976,87696.0,2.25,0.04,Yes,4117.0,35943.58,108.48
4097,Tanzania,Direct Drop,Air,HIV test,20,625,20000.0,32.0,1.6,Yes,200.0,2918.12,33.0
4098,Nigeria,Direct Drop,Air,HIV test,100,5884,523676.0,89.0,0.89,Yes,3435.0,34730.62,538.34
4100,Dominican Republic,Direct Drop,Air,HIV test,100,2400,230400.0,96.0,0.96,Yes,978.0,10159.15,236.85
4101,Vietnam,Direct Drop,Air,Adult,30,7882,25458.86,3.23,0.11,Yes,472.0,6969.97,31.49
4102,Sudan,Direct Drop,Air,HIV test,20,10,320.0,32.0,1.6,Yes,4.0,593.8,0.53
4109,Rwanda,Direct Drop,Air,Adult,30,599,7966.7,13.3,0.44,Yes,41.0,717.0,17.18
4110,Zambia,Direct Drop,Air,HIV test,100,2807,202104.0,72.0,0.72,Yes,1360.0,20067.34,435.74
4112,Namibia,Direct Drop,Air,Adult,60,33696,279339.84,8.29,0.14,Yes,4262.0,27262.44,287.16
4114,Haiti,Direct Drop,Air,Adult,60,24992,202435.2,8.1,0.13,Yes,3458.0,19839.26,208.1
4115,Haiti,Direct Drop,Ocean,Adult,60,960,1651.2,1.72,0.03,Yes,8385.0,12336.45,1.7
4116,Malawi,Direct Drop,Air,HIV test,100,246,19680.0,80.0,0.8,Yes,114.0,3278.11,27.59
4117,South Africa,Direct Drop,Ocean,Pediatric,240,20000,185600.0,9.28,0.04,Yes,7683.0,7073.56,306.24
4118,Nigeria,Direct Drop,Air,Pediatric,240,4000,7800.0,1.95,0.01,Yes,1573.0,9316.91,12.87
4119,Zimbabwe,Direct Drop,Air,HIV test,100,2856,228480.0,80.0,0.8,Yes,1102.0,26846.59,376.99
4120,Mozambique,Direct Drop,Air,HIV test,100,2938,235040.0,80.0,0.8,Yes,1329.0,13394.09,290.74
4121,Guyana,Direct Drop,Air,HIV test,20,5,135.0,27.0,1.35,Yes,1.0,283.21,0.29
4122,Haiti,Direct Drop,Air,HIV test,1,260,5980.0,23.0,23.0,Yes,197.0,2708.04,9.87
4124,Nigeria,Direct Drop,Air,HIV test,100,792,70488.0,89.0,0.89,Yes,350.0,8363.61,98.82
4128,Nigeria,Direct Drop,Air,HIV test,20,12485,399520.0,32.0,1.6,Yes,3655.0,25636.67,470.24
4130,Nigeria,Direct Drop,Air,HIV test,20,1052,30508.0,29.0,1.45,Yes,334.0,2335.9,50.34
4132,Côte d'Ivoire,Direct Drop,Air,Adult,180,1015,50750.0,50.0,0.28,Yes,257.0,1167.97,109.42
4133,South Africa,Direct Drop,Ocean,Adult,30,20060,90871.8,4.53,0.15,Yes,1726.0,35753.93,195.92
4134,South Africa,Direct Drop,Ocean,Pediatric,90,19271,192324.58,9.98,0.11,Yes,2555.0,2347.77,414.65
4135,South Sudan,Direct Drop,Air,HIV test - Ancillary,100,339,2712.0,8.0,0.08,Yes,175.0,4803.06,3.8
4137,Ethiopia,Direct Drop,Air,HIV test,20,135,3915.0,29.0,1.45,Yes,47.0,379.65,5.49
4138,Nigeria,Direct Drop,Air,Pediatric,60,5513,32747.22,5.94,0.1,Yes,640.0,6185.25,40.51
4140,Tanzania,Direct Drop,Air,HIV test,100,3,240.0,80.0,0.8,Yes,2.0,925.04,0.3
4142,South Africa,Direct Drop,Ocean,Adult,30,191011,861459.61,4.51,0.15,Yes,16234.0,14439.17,1421.41
4143,Côte d'Ivoire,Direct Drop,Air,HIV test,100,2821,225680.0,80.0,0.8,Yes,1346.0,34282.33,372.37
4144,Rwanda,Direct Drop,Air,Adult,30,31,185.69,5.99,0.2,Yes,4.0,889.55,0.36
4145,Kenya,Direct Drop,Air,HIV test,100,4440,395160.0,89.0,0.89,Yes,1445.0,10719.64,554.01
4147,Kenya,Direct Drop,Air,HIV test,100,3,240.0,80.0,0.8,Yes,1411.0,13150.21,0.52
4148,Vietnam,Direct Drop,Air,Adult,60,9023,21925.89,2.43,0.04,Yes,5359.0,18473.57,47.27
4149,Uganda,Direct Drop,Air,Pediatric,300,75,2311.5,30.82,0.1,Yes,120.0,1487.76,2.38
4150,South Africa,Direct Drop,Ocean,Adult,60,82075,223244.0,2.72,0.05,Yes,8969.0,7175.27,368.35
4151,South Africa,Direct Drop,Ocean,Adult,30,116000,815480.0,7.03,0.23,Yes,7965.0,13688.03,1758.17
4152,Vietnam,Direct Drop,Air,Adult,30,17760,177600.0,10.0,0.33,Yes,2523.0,4784.19,209.04
4153,Kenya,Direct Drop,Air,HIV test,100,6105,543345.0,89.0,0.89,Yes,1051.0,11208.38,896.52
4154,Côte d'Ivoire,Direct Drop,Air,Adult,180,1000,50000.0,50.0,0.28,Yes,254.0,881.33,107.8
4155,Zambia,Direct Drop,Air,Pediatric,60,70000,301000.0,4.3,0.07,Yes,5999.0,25383.34,422.0
4159,Côte d'Ivoire,Direct Drop,Air,Adult,120,1464,154437.73,105.49,0.88,Yes,255.0,4204.67,254.82
4161,Côte d'Ivoire,Direct Drop,Air,HIV test,100,3000,233100.0,77.7,0.78,Yes,679.0,11163.49,502.56
4162,Namibia,Direct Drop,Air,HIV test,20,750,24000.0,32.0,1.6,Yes,248.0,6654.24,39.6
4164,Haiti,Direct Drop,Air,Adult,30,8806,40419.54,4.59,0.15,Yes,979.0,6161.47,41.55
4165,Mozambique,Direct Drop,Air,HIV test,20,2360,75520.0,32.0,1.6,Yes,1636.0,21087.7,162.82
4166,Mali,Direct Drop,Air,HIV test,36,65,8125.0,125.0,3.47,Yes,24.0,1059.59,8.35
4167,Ghana,Direct Drop,Air,Pediatric,240,6047,8647.21,1.43,0.01,Yes,2323.0,7326.63,8.89
4168,Vietnam,Direct Drop,Air,Adult,60,20000,219000.0,10.95,0.18,Yes,2675.0,9656.19,361.35
4170,Burundi,Direct Drop,Air,HIV test,100,1472,117760.0,80.0,0.8,Yes,638.0,16189.94,145.67
4171,Rwanda,Direct Drop,Ocean,Adult,30,104000,483600.0,4.65,0.16,Yes,9684.0,7898.15,497.14
4172,Côte d'Ivoire,Direct Drop,Air,Adult,336,300,11508.0,38.36,0.11,Yes,546.0,4901.51,22.56
4173,South Africa,Direct Drop,Ocean,Pediatric,30,32080,76671.2,2.39,0.08,Yes,2666.0,21695.97,165.3
4174,Sudan,Direct Drop,Air,HIV test - Ancillary,100,2,16.0,8.0,0.08,Yes,2.0,980.7,0.03
4175,Zimbabwe,Direct Drop,Air,HIV test - Ancillary,1,2000,10000.0,5.0,5.0,Yes,864.0,14314.83,12.37
4176,Uganda,Direct Drop,Air,Adult,60,50000,405000.0,8.1,0.13,Yes,6918.0,22886.81,500.98
4179,"Congo, DRC",Direct Drop,Air,Malaria,1000,415,10026.4,24.16,0.02,Yes,329.0,1731.89,12.4
4180,Vietnam,Direct Drop,Air,Adult,120,5200,316264.0,60.82,0.51,Yes,1272.0,3824.06,325.12
4181,Rwanda,Direct Drop,Air,HIV test,1,4014,98343.0,24.5,24.5,Yes,2676.0,35281.73,101.1
4182,Rwanda,Direct Drop,Air,HIV test,30,1600,38400.0,24.0,0.8,Yes,571.0,5161.55,82.79
4183,Vietnam,Direct Drop,Air,Adult,60,16800,109032.0,6.49,0.11,Yes,1456.0,2984.0,112.08
4184,Namibia,Direct Drop,Air,HIV test,20,1400,44800.0,32.0,1.6,Yes,500.0,5061.46,96.59
4185,Côte d'Ivoire,Direct Drop,Air,Pediatric,100,670,3015.0,4.5,0.04,Yes,76.0,1921.02,3.73
4186,Vietnam,Direct Drop,Air,Pediatric,60,104,1581.84,15.21,0.25,Yes,18.0,612.07,2.22
4187,Uganda,Direct Drop,Air,Pediatric,60,4250,34170.0,8.04,0.13,Yes,424.0,1488.99,40.22
4193,South Sudan,Direct Drop,Air,HIV test,20,35,1120.0,32.0,1.6,Yes,191.0,2796.58,1.32
4194,Côte d'Ivoire,Direct Drop,Air,Adult,120,16695,562621.5,33.7,0.28,Yes,4113.0,30130.82,928.33
4195,Rwanda,Direct Drop,Ocean,Adult,30,28869,577380.0,20.0,0.67,Yes,3865.0,5678.36,593.55
4197,Uganda,Direct Drop,Air,HIV test,20,875,28000.0,32.0,1.6,Yes,292.0,4462.61,34.64
4198,Rwanda,Direct Drop,Air,Pediatric,60,500,2970.0,5.94,0.1,Yes,65.0,985.26,3.05
4202,Tanzania,Direct Drop,Air,HIV test,20,30,960.0,32.0,1.6,Yes,10.0,910.73,1.58
4204,Vietnam,Direct Drop,Air,Adult,30,128,2977.28,23.26,0.78,Yes,1232.0,2769.45,3.5
4205,Tanzania,Direct Drop,Air,Pediatric,300,304,9369.28,30.82,0.1,Yes,278.0,5656.74,9.63
4206,Kenya,Direct Drop,Air,HIV test,100,8563,762107.0,89.0,0.89,Yes,1474.0,15687.32,1643.1
4209,Côte d'Ivoire,Direct Drop,Air,Pediatric,180,3559,60360.64,16.96,0.09,Yes,1061.0,2454.99,118.31
4211,Cameroon,Direct Drop,Air,HIV test,100,5000,400000.0,80.0,0.8,Yes,2268.0,37942.89,494.8
4212,South Africa,Direct Drop,Ocean,Adult,60,7548,55100.4,7.3,0.12,Yes,391.0,659.58,90.92
4214,Uganda,Direct Drop,Air,Adult,120,120,10800.0,90.0,0.75,Yes,18.0,1190.02,21.17
4215,Mozambique,Direct Drop,Air,HIV test,100,2591,201320.7,77.7,0.78,Yes,994.0,12838.85,332.18
4216,South Africa,Direct Drop,Ocean,Adult,60,150000,430500.0,2.87,0.05,Yes,9282.0,15222.94,710.32
4217,Ethiopia,Direct Drop,Air,HIV test,20,140,3780.0,27.0,1.35,Yes,38.0,447.73,8.15
4218,Ethiopia,Direct Drop,Air,HIV test,1,25004,612598.0,24.5,24.5,Yes,17367.0,161962.32,858.86
4219,Côte d'Ivoire,Direct Drop,Air,Pediatric,30,7000,8750.0,1.25,0.04,Yes,480.0,5325.3,10.82
4221,Uganda,Direct Drop,Air,Adult,120,10679,272314.5,25.5,0.21,Yes,2709.0,11409.29,381.78
4222,Mozambique,Direct Drop,Air,HIV test,100,8898,711840.0,80.0,0.8,Yes,3611.0,24079.79,731.77
4224,Vietnam,Direct Drop,Air,Adult,60,23355,54884.25,2.35,0.04,Yes,1073.0,5221.88,90.56
4225,South Africa,Direct Drop,Ocean,Pediatric,240,20000,185600.0,9.28,0.04,Yes,7293.0,6560.34,306.24
4226,Rwanda,Direct Drop,Air,Adult,30,54684,327557.16,5.99,0.2,Yes,3889.0,31784.09,642.01
4227,Cameroon,Direct Drop,Air,Adult,30,12600,57960.0,4.6,0.15,Yes,1278.0,15106.61,71.7
4228,South Africa,Direct Drop,Ocean,Adult,60,6384,46603.2,7.3,0.12,Yes,331.0,5766.83,76.9
4231,Cameroon,Direct Drop,Air,Adult,60,5000,32500.0,6.5,0.11,Yes,294.0,4339.64,40.2
4233,Zambia,Direct Drop,Air,HIV test,100,2950,236000.0,80.0,0.8,Yes,1222.0,22041.41,291.93
4234,South Africa,Direct Drop,Ocean,Adult,30,108677,722702.05,6.65,0.22,Yes,10144.0,8809.08,1192.46
4237,Vietnam,Direct Drop,Air,Adult,30,71,1651.46,23.26,0.78,Yes,15.0,493.42,2.04
4241,Guyana,Direct Drop,Air,Pediatric,300,12,729.84,60.82,0.2,Yes,39.0,790.71,0.75
4242,Nigeria,Direct Drop,Air,HIV test,100,6170,549130.0,89.0,0.89,Yes,2498.0,30648.28,564.51
4244,South Africa,Direct Drop,Ocean,Adult,60,236129,559625.73,2.37,0.04,Yes,11917.0,17266.6,1206.55
4247,Rwanda,Direct Drop,Air,Adult,60,34500,106605.0,3.09,0.05,Yes,2044.0,10883.65,208.95
4249,"Congo, DRC",Direct Drop,Air,Pediatric,60,304,1805.76,5.94,0.1,Yes,43.0,453.31,2.23
4250,Côte d'Ivoire,Direct Drop,Air,Pediatric,60,7228,33248.8,4.6,0.08,Yes,338.0,3845.67,46.61
4251,"Congo, DRC",Direct Drop,Air,Pediatric,30,492,615.0,1.25,0.04,Yes,27.0,938.06,0.76
4252,South Africa,Direct Drop,Air,Adult,30,83238,650921.16,7.82,0.26,Yes,5663.0,5298.02,1403.39
4254,Zimbabwe,Direct Drop,Air,HIV test,25,2000,40000.0,20.0,0.8,Yes,624.0,4756.06,78.4
4255,Nigeria,Direct Drop,Air,HIV test,20,1286,37294.0,29.0,1.45,Yes,482.0,2386.35,61.54
4256,South Africa,Direct Drop,Air,Adult,30,59681,412395.71,6.91,0.23,Yes,5200.0,5953.37,889.13
4258,Tanzania,Direct Drop,Air,Adult,30,216755,2653081.2,12.24,0.41,Yes,28678.0,118541.26,3281.86
4259,Kenya,Direct Drop,Air,HIV test,100,6100,542900.0,89.0,0.89,Yes,3497.0,40917.19,895.78
4260,Haiti,Direct Drop,Air,Adult,60,10050,21909.0,2.18,0.04,Yes,659.0,5586.53,22.52
4261,Afghanistan,Direct Drop,Air,Malaria,100,32,800.0,25.0,0.25,Yes,68.0,555.49,0.94
4262,Vietnam,Direct Drop,Air,Adult,30,21384,217047.6,10.15,0.34,Yes,2406.0,4219.32,223.12
4264,Uganda,Direct Drop,Air,HIV test,50,31,38750.0,1250.0,25.0,Yes,43.0,1324.43,47.93
4265,South Africa,Direct Drop,Ocean,Adult,60,75000,182250.0,2.43,0.04,Yes,3347.0,7414.66,300.71
4268,Haiti,Direct Drop,Air,Adult,30,75000,768000.0,10.24,0.34,Yes,9057.0,55886.43,789.5
4269,Zimbabwe,Direct Drop,Air,Pediatric,60,19922,118336.68,5.94,0.1,Yes,3991.0,34670.93,139.28
4270,Haiti,Direct Drop,Air,Pediatric,300,50,1808.0,36.16,0.12,Yes,100.0,3806.01,3.9
4272,Haiti,Direct Drop,Air,Adult,30,384,1363.2,3.55,0.12,Yes,42.0,2391.08,1.4
4275,Haiti,Direct Drop,Air,Adult,60,990,5445.0,5.5,0.09,Yes,69.0,694.54,5.6
4279,Vietnam,Direct Drop,Air,Pediatric,240,150,315.0,2.1,0.01,Yes,58.0,755.03,0.44
4280,Zimbabwe,Direct Drop,Air,Pediatric,300,1500,46230.0,30.82,0.1,Yes,1374.0,15509.16,64.81
4281,Zambia,Direct Drop,Air,HIV test,100,3000,240000.0,80.0,0.8,Yes,1428.0,25760.94,336.48
4283,South Africa,Direct Drop,Ocean,Adult,30,100591,455677.23,4.53,0.15,Yes,8635.0,11203.79,982.44
4284,South Sudan,Direct Drop,Air,HIV test,20,450,14400.0,32.0,1.6,Yes,164.0,1871.07,16.95
4285,Haiti,Direct Drop,Air,HIV test,100,4500,450000.0,100.0,1.0,Yes,1825.0,15408.29,462.6
4286,Vietnam,Direct Drop,Air,Adult,60,6414,14944.62,2.33,0.04,Yes,425.0,1032.12,20.95
4287,Uganda,Direct Drop,Air,Pediatric,60,1000,5940.0,5.94,0.1,Yes,116.0,1105.6,6.11
4288,South Africa,Direct Drop,Ocean,Adult,30,120000,798000.0,6.65,0.22,Yes,11201.0,13084.26,1316.7
4290,Ghana,Direct Drop,Air,Adult,30,24917,284053.8,11.4,0.38,Yes,3227.0,20654.13,292.01
4292,Uganda,Direct Drop,Air,Adult,60,61290,143418.6,2.34,0.04,Yes,3528.0,16938.13,201.07
4296,Kenya,Direct Drop,Air,HIV test,100,7263,646407.0,89.0,0.89,Yes,2069.0,14307.97,1066.57
4297,Vietnam,Direct Drop,Air,Adult,60,497,2857.75,5.75,0.1,Yes,117.0,658.27,3.54
4298,Vietnam,Direct Drop,Air,Adult,30,13307,47239.85,3.55,0.12,Yes,1018.0,1681.58,58.44
4299,Uganda,Direct Drop,Air,Pediatric,60,2335,18773.4,8.04,0.13,Yes,237.0,1488.99,22.1
4300,Burundi,Direct Drop,Air,HIV test,100,675,54000.0,80.0,0.8,Yes,278.0,5626.76,55.51
4301,South Africa,Direct Drop,Ocean,Adult,30,48866,220385.66,4.51,0.15,Yes,4154.0,9951.37,363.64
4302,Burundi,Direct Drop,Air,HIV test,100,1128,90240.0,80.0,0.8,Yes,462.0,12205.04,92.77
4304,Vietnam,Direct Drop,Air,Adult,60,40000,58000.0,1.45,0.02,Yes,2343.0,12751.68,95.7
4307,Kenya,Direct Drop,Air,HIV test,1,20000,600000.0,30.0,30.0,Yes,18580.0,241407.27,742.2
4309,Kenya,Direct Drop,Air,HIV test,100,7888,631040.0,80.0,0.8,Yes,1357.0,12965.93,1360.52
4314,Vietnam,Direct Drop,Air,Adult,60,15153,35609.55,2.35,0.04,Yes,3595.0,12632.99,76.77
4317,Haiti,Direct Drop,Ocean,Adult,30,18273,84421.26,4.62,0.15,Yes,2001.0,7842.4,86.79
4321,South Africa,Direct Drop,Air,Adult,60,40751,118992.92,2.92,0.05,Yes,4806.0,6369.79,256.55
4327,South Africa,Direct Drop,Ocean,Adult,30,76097,506045.05,6.65,0.22,Yes,7105.0,6121.41,834.97
4328,Guyana,Direct Drop,Air,HIV test,100,507,36504.0,72.0,0.72,Yes,67.0,4400.85,71.55
4329,Vietnam,Direct Drop,Air,Adult,30,5280,55440.0,10.5,0.35,Yes,1570.0,2690.2,56.99
4331,Sudan,Direct Drop,Air,HIV test,25,60,1200.0,20.0,0.8,Yes,353.0,3843.25,2.59
4332,Côte d'Ivoire,Direct Drop,Air,Adult,60,2706,18536.1,6.85,0.11,Yes,346.0,9539.6,39.96
4334,Zimbabwe,Direct Drop,Air,HIV test - Ancillary,1,5060,25300.0,5.0,5.0,Yes,2486.0,46552.3,35.47
4335,South Africa,Direct Drop,Air,Adult,60,8989,66788.27,7.43,0.12,Yes,454.0,3315.24,144.0
4336,Rwanda,Direct Drop,Air,Adult,60,15030,38927.7,2.59,0.04,Yes,933.0,3847.96,76.3
4338,Uganda,Direct Drop,Air,Adult,30,66960,320738.4,4.79,0.16,Yes,7549.0,26095.99,449.68
4339,Pakistan,Direct Drop,Air,HIV test,100,4484,358720.0,80.0,0.8,Yes,1948.0,21689.39,502.93
4340,Haiti,Direct Drop,Air,Pediatric,60,936,5559.84,5.94,0.1,Yes,128.0,1637.86,6.88
4341,Kenya,Direct Drop,Air,HIV test,100,6636,530880.0,80.0,0.8,Yes,1036.0,11163.27,1144.58
4342,South Africa,Direct Drop,Ocean,Adult,30,35357,150620.82,4.26,0.14,Yes,2806.0,7292.27,248.52
4344,Haiti,Direct Drop,Ocean,Adult,30,60000,630000.0,10.5,0.35,Yes,8113.0,8217.8,647.64
4345,Côte d'Ivoire,Direct Drop,Air,Adult,60,4014,27495.9,6.85,0.11,Yes,507.0,4520.66,59.28
4347,South Africa,Direct Drop,Ocean,Pediatric,30,97753,238517.32,2.44,0.08,Yes,5778.0,14558.87,393.55
4348,South Africa,Direct Drop,Ocean,Adult,30,130800,869820.0,6.65,0.22,Yes,12208.0,13829.57,1435.2
4349,Vietnam,Direct Drop,Air,Adult,30,168,2184.0,13.0,0.43,Yes,2046.0,14405.31,4.71
4350,Tanzania,Direct Drop,Air,Pediatric,60,405,3122.55,7.71,0.13,Yes,75.0,1262.36,5.15
4351,Sudan,Direct Drop,Air,HIV test - Ancillary,100,1,8.0,8.0,0.08,Yes,2.0,885.49,0.01
4355,Nigeria,Direct Drop,Air,ACT,720,2500,105000.0,42.0,0.06,Yes,1725.0,11954.71,147.21
4357,Ethiopia,Direct Drop,Air,HIV test,1,924,22638.0,24.5,24.5,Yes,656.0,6488.44,31.74
4358,Côte d'Ivoire,Direct Drop,Air,Adult,30,939,21127.5,22.5,0.75,Yes,117.0,1766.57,29.62
4360,Tanzania,Direct Drop,Air,HIV test,25,3399,67980.0,20.0,0.8,Yes,1133.0,8509.57,112.17
4361,Haiti,Direct Drop,Air,Pediatric,180,6705,113716.8,16.96,0.09,Yes,1979.0,853.07,159.43
4363,Vietnam,Direct Drop,Air,Adult,60,14055,31623.75,2.25,0.04,Yes,1304.0,2220.86,44.34
4364,Lesotho,Direct Drop,Air,HIV test,100,2104,168320.0,80.0,0.8,Yes,856.0,11063.78,173.03
4366,Kenya,Direct Drop,Air,HIV test,100,3000,240000.0,80.0,0.8,Yes,907.0,9014.8,470.4
4367,Tanzania,Direct Drop,Air,Adult,60,96200,209716.0,2.18,0.04,Yes,6320.0,33343.63,215.59
4369,Côte d'Ivoire,Direct Drop,Air,HIV test,20,220,5940.0,27.0,1.35,Yes,115.0,7883.32,12.81
4370,Guyana,Direct Drop,Air,Adult,120,2245,184539.0,82.2,0.68,Yes,598.0,5178.47,304.49
4376,Uganda,Direct Drop,Air,Adult,30,60,780.0,13.0,0.43,Yes,4.0,1045.04,1.68
4377,South Africa,Direct Drop,Air,Pediatric,240,60000,601200.0,10.02,0.04,Yes,22956.0,27372.24,991.98
4378,Kenya,Direct Drop,Air,HIV test,100,7110,568800.0,80.0,0.8,Yes,1224.0,11847.25,1226.33
4379,South Africa,Direct Drop,Ocean,Adult,30,105707,725150.02,6.86,0.23,Yes,7092.0,7704.77,1196.5
4380,Kenya,Direct Drop,Air,HIV test,100,3,240.0,80.0,0.8,Yes,1302.0,12678.52,0.52
4382,South Africa,Direct Drop,Air,Pediatric,240,19098,60158.7,3.15,0.01,Yes,7367.0,3444.28,129.7
4383,Vietnam,Direct Drop,Air,Adult,30,200,4652.0,23.26,0.78,Yes,22.0,1475.95,4.78
4385,Uganda,Direct Drop,Air,HIV test,100,4000,320000.0,80.0,0.8,Yes,1624.0,14692.8,328.96
4386,Mozambique,Direct Drop,Air,HIV test,100,5500,440000.0,80.0,0.8,Yes,2139.0,19193.57,517.88
4389,Botswana,Direct Drop,Air,HIV test - Ancillary,2,15,465.0,31.0,15.5,Yes,5.0,592.46,1.0
4390,South Sudan,Direct Drop,Air,HIV test,20,52,1664.0,32.0,1.6,Yes,24.0,1170.36,2.06
4391,Vietnam,Direct Drop,Air,Adult,30,13907,155063.05,11.15,0.37,Yes,1578.0,2689.85,191.81
4393,Zambia,Direct Drop,Air,HIV test,20,8000,256000.0,32.0,1.6,Yes,2328.0,14581.51,301.31
4394,Nigeria,Direct Drop,Air,HIV test,100,8149,725261.0,89.0,0.89,Yes,3886.0,86928.23,1016.82
4397,Uganda,Direct Drop,Air,HIV test,20,427,13664.0,32.0,1.6,Yes,139.0,2473.96,16.9
4398,Haiti,Direct Drop,Ocean,Adult,60,9227,60990.47,6.61,0.11,Yes,813.0,1922.5,62.7
4399,South Africa,Direct Drop,Ocean,Pediatric,240,10603,23962.78,2.26,0.01,Yes,3818.0,11234.1,39.54
4400,Rwanda,Direct Drop,Air,Adult,60,10620,205284.6,19.33,0.32,Yes,1050.0,18475.61,402.36
4402,Namibia,Direct Drop,Air,Adult,30,29160,306180.0,10.5,0.35,Yes,3402.0,17118.8,314.75
4405,Zambia,Direct Drop,Air,HIV test,100,2161,155592.0,72.0,0.72,Yes,1051.0,16633.36,335.46
4406,Nigeria,Direct Drop,Air,HIV test,20,24250,776000.0,32.0,1.6,Yes,7080.0,70509.14,959.91
4408,Haiti,Direct Drop,Air,Adult,60,1217,8239.09,6.77,0.11,Yes,124.0,976.44,8.47
4411,Uganda,Direct Drop,Air,Adult,120,98,12362.16,126.14,1.05,Yes,18.0,586.16,20.4
4413,Tanzania,Direct Drop,Ocean,Adult,30,53149,1057665.1,19.9,0.66,Yes,5803.0,27478.63,2280.33
4415,Tanzania,Direct Drop,Air,Adult,30,3000,71010.0,23.67,0.79,Yes,363.0,777.0,139.18
4416,South Africa,Direct Drop,Ocean,Pediatric,30,45232,110366.08,2.44,0.08,Yes,2674.0,5301.65,182.1
4418,Uganda,Direct Drop,Air,Pediatric,60,46,1200.14,26.09,0.43,Yes,3.0,986.79,2.35
4419,Vietnam,Direct Drop,Air,Adult,30,21384,217047.6,10.15,0.34,Yes,2406.0,4219.32,223.12
4420,Nigeria,Direct Drop,Air,HIV test,100,11054,983806.0,89.0,0.89,Yes,4495.0,67915.7,1011.35
4421,Guyana,Direct Drop,Air,HIV test - Ancillary,1,40,100.0,2.5,2.5,Yes,2.0,281.61,0.16
4422,Haiti,Direct Drop,Air,Pediatric,60,612,3635.28,5.94,0.1,Yes,76.0,1286.68,4.5
4423,Haiti,Direct Drop,Air,Adult,60,350,2397.5,6.85,0.11,Yes,51.0,4126.9,2.46
4429,Tanzania,Direct Drop,Air,Adult,60,31528,171197.04,5.43,0.09,Yes,1899.0,10879.44,211.77
4431,Zambia,Direct Drop,Air,HIV test,20,2730,87360.0,32.0,1.6,Yes,890.0,11367.59,108.06
4433,Nigeria,Direct Drop,Air,HIV test,100,4758,423462.0,89.0,0.89,Yes,1934.0,28895.07,435.32
4435,Guyana,Direct Drop,Air,HIV test,100,90,9000.0,100.0,1.0,Yes,41.0,1182.5,12.62
4438,Dominican Republic,Direct Drop,Air,Adult,30,1902,38040.0,20.0,0.67,Yes,170.0,1965.62,47.06
4440,Zambia,Direct Drop,Air,HIV test,100,5538,443040.0,80.0,0.8,Yes,5538.0,25380.88,455.45
4441,South Africa,Direct Drop,Ocean,Adult,60,104636,284609.92,2.72,0.05,Yes,11275.0,8527.46,469.61
